"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2010","2010","tonnes","4532000.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2010","2010","tonnes","1401000.0","2"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2010","2010","tonnes","672000.0","3"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2010","2010","tonnes","660000.0","4"
"QP","Livestock Processed","2","Afghanistan","5510","Production","888","Milk, skimmed cow","2010","2010","tonnes","535811.0","5"
"QC","Crops","2","Afghanistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2010","2010","tonnes","448224.0","6"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2010","2010","tonnes","437000.0","7"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2010","2010","tonnes","397000.0","8"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2010","2010","tonnes","350000.0","9"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2010","2010","tonnes","309763.0","10"
